id,name,id
862,Pixar Animation Studios,3.0
8844,TriStar Pictures,559.0
8844,Teitler Film,2550.0
8844,Interscope Communications,10201.0
15602,Warner Bros.,6194.0
15602,Lancaster Gate,19464.0
31357,Twentieth Century Fox Film Corporation,306.0
11862,Sandollar Productions,5842.0
11862,Touchstone Pictures,9195.0
949,Regency Enterprises,508.0
949,Forward Pass,675.0
949,Warner Bros.,6194.0
11860,Paramount Pictures,4.0
11860,Scott Rudin Productions,258.0
11860,Mirage Enterprises,932.0
11860,Sandollar Productions,5842.0
11860,Constellation Entertainment,14941.0
11860,Worldwide,55873.0
11860,Mont Blanc Entertainment GmbH,58079.0
45325,Walt Disney Pictures,2.0
9091,Universal Pictures,33.0
9091,Imperial Entertainment,21437.0
9091,Signature Entertainment,23770.0
710,United Artists,60.0
710,Eon Productions,7576.0
9087,Columbia Pictures,5.0
9087,Castle Rock Entertainment,97.0
12110,Columbia Pictures,5.0
12110,Castle Rock Entertainment,97.0
12110,Enigma Pictures,6368.0
21032,Universal Pictures,33.0
21032,Amblin Entertainment,56.0
21032,Amblimation,4105.0
10858,Hollywood Pictures,915.0
10858,Cinergi Pictures Entertainment,1504.0
1408,Le Studio Canal+,183.0
1408,Laurence Mark Productions,415.0
1408,Metro-Goldwyn-Mayer (MGM),8411.0
1408,Carolco Pictures,14723.0
524,Universal Pictures,33.0
524,Légende Entreprises,10898.0
524,Syalis DA,11583.0
524,De Fina-Cappa,11584.0
4584,Columbia Pictures Corporation,441.0
4584,Mirage Enterprises,932.0
5,Miramax Films,14.0
5,A Band Apart,59.0
9273,O Entertainment,5682.0
9273,Warner Bros.,6194.0
9273,Morgan Creek Productions,10210.0
11517,Columbia Pictures,5.0
8012,Jersey Films,216.0
8012,Metro-Goldwyn-Mayer (MGM),8411.0
1710,Regency Enterprises,508.0
1710,New Regency Pictures,10104.0
9691,Silver Pictures,1885.0
9691,Canal+,5358.0
9691,Warner Bros.,6194.0
9691,Dino De Laurentiis Company,10308.0
